#{"t_start": 1662486202.345943, "env_id": "zinc-coating-v0"}
r,l,t
-3129.108272,2500,0.574032
-2254.564602,2500,7.095943
-3094.425631,2500,13.671679
-2911.077806,2500,20.189711
-2896.157979,2500,31.113078
-2359.225213,2500,42.039718
-2063.222621,2500,52.872012
-1795.328042,2500,63.724497
-2066.189942,2500,74.675941
-2315.89549,2500,85.538074
-1926.768295,2500,96.289649
-1847.224423,2500,107.435394
-1787.788815,2500,118.502911
-1866.09134,2500,129.484834
-1638.312835,2500,140.327427
-2881.598786,2500,151.121699
-3327.27047,2500,162.180684
-2080.076921,2500,173.105783
-1458.269796,2500,184.031724
-2016.915104,2500,195.011886
-2535.834716,2500,205.922312
-1996.564076,2500,216.832845
-2536.672901,2500,227.902575
-1477.915264,2500,238.88973
-2084.025343,2500,249.84614
-3023.374329,2500,260.93349
-2015.522627,2500,271.783514
-2702.815082,2500,282.695964
-1940.923857,2500,293.653332
-2286.49578,2500,304.411281
-1964.335603,2500,315.345771
-1881.597835,2500,326.417304
-1743.155101,2500,337.604573
-1432.66517,2500,348.700951
-1913.441463,2500,359.85001
-1886.063556,2500,370.90167
-2133.218916,2500,381.73718
-1906.019341,2500,392.416209
-2384.623544,2500,403.289125
-1767.931638,2500,413.967953
-2360.585598,2500,424.555351
-1572.120597,2500,435.318794
-2022.131567,2500,446.121867
-2548.535226,2500,456.603006
-2109.763942,2500,467.130027
-2634.668249,2500,477.685695
-2219.608774,2500,488.259311
-2235.219298,2500,498.804391
-2271.099897,2500,509.384721
-2386.690178,2500,519.888227
-1622.275219,2500,530.450782
-2129.257001,2500,541.000769
-1684.922135,2500,551.656631
-1684.439884,2500,562.074924
-1883.836067,2500,572.629849
-2025.213665,2500,583.298781
-2585.747258,2500,593.816701
-2894.766584,2500,604.347982
-3781.720832,2500,614.779693
-2209.385149,2500,625.264767
-2541.851033,2500,635.983163
-2439.628953,2500,646.617332
-2275.012311,2500,657.094987
-2353.672897,2500,667.657967
-2753.196157,2500,678.222084
-2261.800091,2500,688.635339
-2035.965477,2500,699.093592
-2440.108034,2500,709.767889
-2452.232393,2500,720.368902
-2427.025742,2500,731.028835
-2334.444118,2500,741.581608
-3143.362196,2500,752.038064
-2136.873522,2500,762.607062
-1862.391999,2500,773.167033
-3400.607905,2500,783.676439
-3128.751544,2500,794.332141
-2955.51613,2500,804.778578
-2163.384402,2500,815.187988
-2074.855909,2500,825.704656
-3001.511806,2500,836.153637
-2183.844899,2500,846.665778
-2926.806578,2500,857.144761
-2825.045757,2500,867.74436
-2487.454034,2500,878.576846
-2101.038328,2500,889.189808
-2270.039872,2500,899.746354
-2865.010698,2500,910.396029
-2568.842502,2500,920.974484
-2234.934102,2500,931.614724
-2520.061783,2500,942.244243
-2553.259966,2500,952.858704
-2808.523665,2500,963.282736
-2867.446794,2500,973.691109
-2330.226253,2500,984.17775
-2460.487145,2500,994.598213
-2405.369737,2500,1005.366216
-2482.439491,2500,1015.994983
-2723.499695,2500,1026.509849
-2736.820944,2500,1037.228166
-1958.35908,2500,1047.957413
-2967.175446,2500,1058.774331
-3433.818752,2500,1069.468851
-3250.894012,2500,1080.127734
-2765.06279,2500,1090.815073
-2292.21383,2500,1101.570225
-2637.073155,2500,1112.240647
-2124.675185,2500,1122.927019
-2980.771495,2500,1133.404329
-2669.934613,2500,1144.067559
-2355.891494,2500,1154.578401
-2549.705385,2500,1165.289632
-3175.365249,2500,1175.861592
-3026.333402,2500,1186.43964
-2652.070506,2500,1197.123004
-2390.602082,2500,1207.670338
-2357.77447,2500,1218.224965
-2642.428466,2500,1228.972814
-2162.675021,2500,1239.944395
-3247.829786,2500,1250.730598
-2370.374924,2500,1261.449039
