#{"t_start": 1662484174.6826797, "env_id": "zinc-coating-v0"}
r,l,t
-3471.546395,2500,0.589373
-2248.060568,2500,7.166107
-2771.269662,2500,13.818265
-2947.677458,2500,20.444704
-3164.089982,2500,37.635993
-2664.55163,2500,55.00452
-2117.985551,2500,72.460361
-2014.195888,2500,89.862209
-2139.608247,2500,107.385791
-1707.689928,2500,124.744493
-1652.861769,2500,141.94224
-2374.948454,2500,159.405534
-1905.149869,2500,176.539851
-2121.311212,2500,194.009805
-1980.296515,2500,211.424289
-2093.02553,2500,228.647844
-1805.785953,2500,246.233387
-2432.658123,2500,263.710608
-1903.228913,2500,281.076318
-1645.43827,2500,298.36244
-1453.491401,2500,315.694735
-1693.538645,2500,333.193886
-2066.282469,2500,350.701028
-1541.87483,2500,368.115148
-1277.821504,2500,385.772006
-1719.38223,2500,403.310646
-2183.097819,2500,420.740498
-2063.988237,2500,437.930922
-2284.558273,2500,455.248031
-2565.091357,2500,472.601896
-1555.049649,2500,489.743976
-1804.688498,2500,507.169257
-2025.380959,2500,524.551957
-1897.33687,2500,541.633901
-2051.532804,2500,558.897983
-2588.18056,2500,576.342549
-1515.878291,2500,593.911781
-2022.45334,2500,611.309972
-1982.511307,2500,628.636845
-1767.637361,2500,645.992003
-1571.088749,2500,663.140188
-1424.376617,2500,680.482054
-2550.968762,2500,697.752135
-1986.524598,2500,714.911087
-1541.649614,2500,732.185336
-1501.21638,2500,749.265785
-2021.664549,2500,766.34443
-1645.482362,2500,783.418085
-1724.700858,2500,800.623625
-1541.464032,2500,817.88224
-2008.768727,2500,834.928238
-1406.531194,2500,852.182008
-1571.045048,2500,869.523855
-2238.339818,2500,886.349808
-2078.134698,2500,903.359875
-1810.203742,2500,920.39453
-2363.046212,2500,937.636182
-1844.437583,2500,954.481777
-2409.82218,2500,971.483623
-1565.364666,2500,988.522153
-1550.726397,2500,1005.691539
-1774.453011,2500,1022.896074
-1388.44077,2500,1040.019332
-1785.051829,2500,1057.51892
-1682.676015,2500,1074.841823
-1437.924229,2500,1092.04581
-1325.517688,2500,1109.433438
-1471.689255,2500,1126.514103
-1553.067775,2500,1143.719541
-2039.650712,2500,1161.036849
-1552.772377,2500,1178.284094
-1699.959833,2500,1195.507468
-2265.602929,2500,1212.723568
-1592.747202,2500,1230.045715
-1688.356205,2500,1246.984324
-2122.697791,2500,1264.27053
-1668.025093,2500,1281.495445
-1930.108068,2500,1298.80158
-1510.900736,2500,1316.212004
-1997.032002,2500,1332.941052
-1443.254477,2500,1350.032503
-2269.046951,2500,1367.242736
-1189.644353,2500,1384.544216
-2391.259176,2500,1401.894197
-1650.52274,2500,1419.379489
-1037.935214,2500,1436.581975
-1761.917259,2500,1453.757995
-1727.882156,2500,1470.758412
-1691.374503,2500,1488.023608
-2699.315794,2500,1504.926154
-1448.872499,2500,1521.933734
-1972.798233,2500,1539.086911
-1064.429949,2500,1556.007421
-2089.054518,2500,1573.069458
-737.719964,2500,1590.344607
-1111.778363,2500,1607.756493
-1440.446145,2500,1625.027658
-1492.976028,2500,1641.977742
-1395.681663,2500,1659.147956
-1644.993339,2500,1676.230352
-2094.019399,2500,1693.419349
-1256.034082,2500,1710.49777
-1392.684105,2500,1727.84056
-1241.918467,2500,1744.750278
-1799.695599,2500,1761.599582
-2695.636815,2500,1778.441432
-2473.289885,2500,1795.444157
-2558.153474,2500,1812.254016
-2467.953924,2500,1829.723755
-1642.388677,2500,1846.980788
-1922.686888,2500,1864.16983
-1958.285378,2500,1881.158176
-2623.303579,2500,1898.405941
-1812.031867,2500,1915.721729
-2570.953534,2500,1932.895842
-2466.70518,2500,1949.930463
-1079.234426,2500,1967.027523
-1922.096728,2500,1984.413711
-1901.415,2500,2001.46383
-2617.818089,2500,2018.365595
