#{"t_start": 1662507821.9738407, "env_id": "zinc-coating-v0"}
r,l,t
-2648.693263,2500,0.565107
-2590.477256,2500,7.098397
-2845.976791,2500,13.681595
-2698.388218,2500,20.158045
-1917.816919,2500,30.907767
-2858.621829,2500,41.662215
-1353.659649,2500,52.54189
-1894.063156,2500,63.316786
-1700.189744,2500,74.144363
-889.178818,2500,85.125498
-2077.649265,2500,95.895261
-2188.605595,2500,106.834272
-2138.754766,2500,117.569938
-2005.51991,2500,128.290369
-2709.390144,2500,139.106665
-2308.767536,2500,149.814822
-2171.506165,2500,160.765997
-2621.13265,2500,171.582188
-2784.565714,2500,182.341373
-3201.338725,2500,193.26055
-1546.5883,2500,204.144313
-2025.834979,2500,214.924026
-1870.827965,2500,225.840723
-2191.703477,2500,236.681362
-2299.972182,2500,247.438715
-1939.284179,2500,258.172079
-1707.952084,2500,268.922661
-1408.406818,2500,279.639906
-1939.684948,2500,290.430477
-2158.461557,2500,301.197395
-1826.891902,2500,311.996836
-2741.049629,2500,322.765251
-1438.108049,2500,333.541636
-3307.351432,2500,344.245648
-2192.187902,2500,354.946344
-1829.315708,2500,365.701303
-2721.83793,2500,376.481266
-1636.151576,2500,387.287246
-2045.438256,2500,398.099982
-2133.999651,2500,408.879829
-1019.607437,2500,419.573537
-2908.899679,2500,430.450202
-1664.819388,2500,441.382164
-2508.832265,2500,452.138838
-1731.395241,2500,463.065275
-3277.787004,2500,473.713
-1797.637819,2500,484.520753
-2392.839322,2500,495.333852
-2936.534267,2500,506.448896
-1620.990799,2500,517.243192
-3970.027354,2500,527.995222
-2772.72819,2500,538.874758
-1568.569742,2500,549.731015
-1701.917708,2500,560.557746
-3599.446777,2500,571.309851
-2704.614507,2500,581.91747
-2220.072166,2500,592.804022
-2176.360498,2500,603.518464
-2542.219103,2500,614.435319
-1593.399827,2500,625.354303
-2407.511189,2500,636.382846
-2055.24835,2500,647.28651
-1239.893097,2500,658.074384
-825.624135,2500,668.718698
-1228.215685,2500,679.609763
-1371.571141,2500,690.386169
-2965.404233,2500,701.059682
-1233.032003,2500,711.862692
-3515.857693,2500,722.589916
-1377.617452,2500,733.298626
-1895.085649,2500,744.231217
-1573.965339,2500,755.129517
-1071.846852,2500,765.924276
-1373.838576,2500,776.734854
-2074.266194,2500,787.407123
-1949.740871,2500,798.243142
-2699.65173,2500,808.927951
-1577.483569,2500,819.528254
-2499.38292,2500,829.987528
-1596.412726,2500,840.428096
-1860.376695,2500,850.853504
-1888.95301,2500,861.498917
-1924.560134,2500,872.060212
-2038.971293,2500,882.569752
-1550.10176,2500,892.988568
-2926.279927,2500,903.396581
-2526.201927,2500,913.854874
-2072.061582,2500,924.345118
-2330.051728,2500,934.535664
-1477.425317,2500,944.767992
-1110.305629,2500,955.227875
-1233.608018,2500,965.59973
-2047.085487,2500,976.091839
-2233.263095,2500,986.80451
-1676.663185,2500,997.329112
-1472.099227,2500,1007.802299
-1993.378923,2500,1018.577725
-2229.668175,2500,1029.047769
-2727.219654,2500,1039.622113
-3896.237952,2500,1050.185822
-1661.124481,2500,1060.8093
-2622.610882,2500,1071.37473
-1598.588412,2500,1081.972582
-2416.948924,2500,1092.541805
-1512.751262,2500,1103.211916
-1118.305516,2500,1113.666039
-2290.438472,2500,1124.183369
-1028.751298,2500,1134.735746
-1721.946225,2500,1145.061106
-1811.552011,2500,1155.644457
-1579.840494,2500,1166.277934
-2744.558674,2500,1176.926122
-2615.140682,2500,1187.595898
-2575.045184,2500,1198.216079
-1496.94626,2500,1208.754097
-1784.037669,2500,1219.220719
-1658.246934,2500,1229.888748
-1365.81846,2500,1240.587498
-2848.683658,2500,1251.461439
-1808.010547,2500,1262.205121
