#{"t_start": 1662548961.8394935, "env_id": "zinc-coating-v0"}
r,l,t
-3141.033901,2500,0.603996
-2930.045023,2500,7.436374
-3153.636293,2500,14.204676
-2869.409798,2500,20.776016
-2963.783075,2500,31.739169
-2406.255814,2500,42.807907
-2166.393778,2500,53.714384
-1802.139788,2500,64.721706
-1732.025776,2500,75.796876
-1512.765704,2500,86.825468
-2102.633404,2500,97.704689
-2181.42184,2500,108.673374
-1939.071799,2500,119.654828
-2012.602418,2500,130.466885
-2049.956964,2500,141.379812
-1587.03031,2500,152.376469
-1656.986116,2500,163.588794
-1910.204136,2500,174.517127
-1569.884879,2500,185.386523
-1597.680806,2500,196.403805
-2473.38088,2500,207.28633
-2380.253645,2500,218.205977
-1434.077963,2500,229.315157
-1877.482261,2500,240.361042
-1806.816552,2500,251.435549
-3012.178819,2500,262.390224
-2010.203854,2500,273.404407
-3237.239241,2500,284.282529
-1850.451406,2500,295.213487
-1854.924713,2500,306.134578
-1825.531785,2500,317.219373
-1321.116749,2500,328.409458
-1522.997291,2500,339.471591
-1351.103596,2500,350.349547
-1352.46743,2500,361.349873
-1946.683851,2500,372.465366
-2122.1894,2500,383.560095
-1606.611482,2500,394.659576
-1333.513492,2500,405.708348
-1800.668705,2500,416.733132
-2227.726809,2500,427.866269
-2380.955866,2500,438.733756
-1276.443426,2500,449.632511
-1299.081206,2500,460.630008
-1790.697327,2500,471.64011
-1942.809627,2500,482.628314
-1958.930654,2500,493.620051
-1943.95016,2500,504.43777
-1374.836755,2500,515.380837
-2076.968072,2500,526.381158
-2168.795717,2500,537.460174
-1609.220215,2500,548.321932
-1917.376425,2500,559.146765
-1443.224968,2500,569.889397
-3814.676815,2500,580.874689
-1822.971225,2500,591.712124
-1446.040017,2500,602.350131
-1747.37648,2500,613.143946
-2124.47332,2500,624.076256
-1818.452528,2500,634.750469
-1904.123502,2500,645.481757
-1825.538391,2500,656.405222
-2181.279102,2500,667.070096
-2887.463569,2500,678.009678
-2321.232727,2500,688.796172
-2524.24028,2500,699.660653
-2056.877623,2500,710.360239
-1701.323871,2500,721.286994
-1766.998999,2500,732.070006
-1694.004291,2500,742.698273
-1149.60145,2500,753.276342
-1413.804525,2500,764.204859
-1333.143394,2500,774.952987
-1685.743543,2500,785.746537
-1498.559614,2500,796.468238
-1525.703497,2500,807.183737
-1937.396208,2500,817.986763
-1998.374082,2500,828.791178
-1913.89037,2500,839.633575
-2188.842368,2500,850.374832
-1600.875619,2500,861.128913
-1616.668547,2500,871.772111
-1803.108619,2500,882.75309
-1837.416471,2500,893.402382
-1580.367537,2500,904.120313
-1617.623916,2500,914.85881
-2447.746398,2500,925.679082
-1825.945835,2500,936.452561
-3757.918443,2500,947.201041
-2685.036434,2500,957.912176
-1710.966284,2500,968.688231
-1699.10623,2500,979.436946
-1869.529715,2500,990.179215
-1795.853217,2500,1001.140443
-2841.687195,2500,1011.821774
-2646.056432,2500,1022.479234
-1326.805898,2500,1033.186199
-2601.988133,2500,1043.990519
-2024.921369,2500,1054.685807
-1782.675907,2500,1065.280936
-2335.007413,2500,1075.990546
-1584.577717,2500,1086.682843
-2417.949713,2500,1097.455849
-1363.866512,2500,1108.224613
-1663.520836,2500,1118.921129
-1543.282167,2500,1129.565732
-2861.292188,2500,1140.263642
-2447.613121,2500,1150.989063
-2424.459901,2500,1161.685522
-2337.172397,2500,1172.512528
-1803.098741,2500,1183.404317
-2441.902701,2500,1194.257591
-1525.608378,2500,1204.776381
-1976.48759,2500,1215.405397
-1503.513844,2500,1226.01564
-1713.276161,2500,1236.700583
-2129.113472,2500,1247.381705
-2553.675977,2500,1258.183665
-1650.16523,2500,1268.961216
-1767.367574,2500,1279.863145
